"","deprivation_rank","cleanliness_rank","socialmedia_rank"
"674",5,3,2
"675",5,5,3
"676",3,5,1
"677",6,6,5
"678",3,1,1
"679",8,10,5
"680",2,4,5
"681",8,6,4
"682",10,10,4
"683",4,4,2
"684",1,3,4
"685",8,9,5
"686",8,8,5
"687",4,3,4
"688",5,7,2
"689",10,8,1
"690",7,6,5
"691",4,2,1
"692",4,2,4
"693",10,10,5
"694",5,6,3
"695",10,10,4
"696",7,8,5
"697",7,9,2
"698",3,1,3
"699",4,3,5
"700",2,2,4
"701",4,6,5
"702",9,9,1
"703",8,8,5
"704",6,4,1
"705",1,3,2
"706",5,3,2
"707",4,3,5
"708",7,9,4
"709",6,5,5
"710",2,2,2
"711",9,8,4
"712",7,5,1
"713",10,8,5
"714",1,1,1
"715",1,1,1
"716",4,4,5
"717",8,7,2
"718",10,9,4
"719",5,3,5
"720",5,5,5
"721",6,7,1
"722",4,6,5
"723",3,4,2
"724",3,4,3
"725",2,1,4
"726",9,8,2
"727",9,9,3
"728",1,3,1
"729",7,7,3
"730",9,9,3
"731",4,4,2
"732",2,4,4
"733",7,5,4
"734",5,4,5
"735",10,10,3
"736",10,10,5
"737",1,2,2
"738",2,2,4
"739",2,3,2
"740",9,10,3
"741",4,5,2
"742",9,10,4
"743",10,10,4
"744",3,2,2
"745",10,9,1
"746",6,8,2
"747",2,3,2
"748",1,1,1
"749",5,5,1
"750",5,6,1
"751",4,6,5
"752",10,8,2
"753",2,1,2
"754",7,6,1
"755",9,10,2
"756",3,5,1
"757",5,7,5
"758",1,1,4
"759",8,10,3
"760",7,5,3
"761",8,6,4
"762",2,2,1
"763",6,4,5
"764",9,10,1
"765",1,2,4
"766",4,5,1
"767",9,8,1
"768",2,3,3
"769",1,3,1
"770",2,4,5
"771",9,10,4
"772",3,2,5
"773",4,5,3
"774",9,10,1
"775",6,4,5
"776",5,5,2
"777",2,2,5
"778",4,3,3
"779",9,9,4
"780",6,4,2
"781",3,1,5
"782",5,3,1
"783",10,10,3
"784",1,1,4
"785",5,3,4
"786",4,6,1
"787",2,3,1
"788",5,6,5
"789",5,3,3
"790",5,5,5
"791",10,10,2
"792",7,9,3
"793",1,1,4
"794",7,8,5
"795",1,2,2
"796",4,3,5
"797",6,8,5
"798",9,7,1
"799",3,4,1
"800",6,7,1
"801",3,4,2
"802",4,6,2
"803",1,3,4
"804",3,3,2
"805",3,2,5
"806",8,7,1
"807",9,9,5
"808",7,8,1
"809",7,7,5
"810",1,1,3
"811",5,7,2
"812",1,2,2
"813",7,8,4
"814",9,10,3
"815",9,10,1
"816",7,9,2
"817",1,1,4
"818",5,7,1
"819",9,10,4
"820",4,3,4
"821",8,8,5
"822",9,10,1
"823",1,3,2
"824",7,7,2
"825",3,3,4
"826",2,1,2
"827",7,8,1
"828",10,10,5
"829",9,8,3
"830",8,8,2
"831",8,10,3
"832",10,10,3
"833",5,3,4
"834",8,6,5
"835",7,6,3
"836",10,10,4
"837",1,1,4
"838",6,4,3
"839",2,3,1
"840",7,5,2
"841",1,3,4
"842",2,1,1
"843",6,4,3
"844",5,4,2
"845",9,8,5
"846",10,10,3
"847",10,10,4
"848",4,4,4
"849",3,5,2
"850",8,10,5
"851",6,7,2
"852",5,7,1
"853",2,4,1
"854",8,9,1
"855",6,7,5
"856",1,2,5
"857",3,2,1
"858",7,5,4
"859",8,10,2
"860",6,4,2
"861",7,8,3
"862",10,9,1
"863",10,10,5
"864",6,6,1
"865",9,10,4
"866",1,2,3
"867",1,1,5
"868",10,10,4
"869",3,2,5
"870",9,10,2
"871",3,2,3
"872",5,5,1
"873",10,10,3
"874",2,1,3
"875",5,7,1
"876",1,1,2
"877",6,5,4
"878",7,8,2
"879",8,6,1
"880",9,7,1
"881",9,9,5
"882",7,8,5
"883",7,7,4
"884",2,1,1
"885",8,6,5
"886",9,10,5
"887",4,2,4
"888",9,9,2
"889",8,8,5
"890",9,9,1
"891",5,7,5
"892",10,10,2
"893",3,2,1
"894",4,3,5
"895",9,9,3
"896",10,10,4
"897",6,6,1
"898",9,7,5
"899",2,1,4
"900",8,7,3
"901",7,9,1
"902",10,9,4
"903",9,10,3
"904",5,4,5
"905",6,7,2
"906",9,9,5
"907",5,7,3
"908",10,10,2
"909",6,4,1
"910",3,3,5
"911",3,1,4
"912",5,6,5
"913",4,3,3
"914",2,1,5
"915",4,6,2
"916",4,2,5
"917",2,1,2
"918",8,10,1
"919",4,6,2
"920",8,10,2
"921",6,4,2
"922",7,6,3
"923",4,2,2
"924",3,4,4
"925",10,8,5
"926",2,2,5
"927",3,2,5
"928",6,5,4
"929",8,9,2
"930",1,1,5
"931",1,2,5
"932",6,8,2
"933",10,10,4
"934",4,6,2
"935",1,1,5
"936",3,4,3
"937",3,3,4
"938",3,2,4
"939",5,4,4
"940",2,2,1
"941",4,4,1
"942",4,6,1
"943",4,6,3
"944",5,3,5
"945",7,6,2
"946",10,10,4
"947",7,9,4
"948",9,8,1
"949",1,1,3
"950",1,1,5
"951",6,7,4
"952",6,7,1
"953",8,6,3
"954",10,10,2
"955",7,5,1
"956",10,8,2
"957",8,8,2
"958",3,3,5
"959",1,3,2
"960",9,8,4
"961",10,9,4
"962",4,4,1
"963",1,1,2
"964",3,4,2
"965",2,4,3
"966",2,1,1
"967",8,8,3
"968",1,1,1
"969",10,8,4
"970",5,4,3
"971",5,3,1
"972",10,10,2
"973",10,10,1
"974",1,1,3
"975",3,3,5
"976",7,7,2
"977",3,2,4
"978",1,3,4
"979",8,7,1
"980",7,6,4
"981",4,6,2
"982",2,4,4
"983",2,2,5
"984",7,7,2
"985",4,3,2
"986",7,9,4
"987",10,10,2
"988",10,9,5
"989",10,9,2
"990",2,1,3
"991",2,3,2
"992",7,9,4
"993",8,6,3
"994",1,1,2
"995",9,7,2
"996",3,1,1
"997",2,3,2
"998",10,9,5
"999",10,9,3
"1000",7,7,2
